,User_Id,Tweet_Id,Tweet_Content,normalized_final_weighted_score,cosine_sim_senetence,cosine_sim_word,trust_score_model1,trust_score_model2_sentence,trust_score_model2_word,Sentenct_level_trust_score,word_level_trust_score,Label_senetence_level,Label_word_level
0,1951067186.0,1130097107333836800,rt vipulananda choose srilanka lankan group chose isi rand easter terrorism lka,0.7666666666666667,0.78636545,0.3424209,0.38333333333333336,0.393182725,0.17121045,0.7765160583333334,0.5545437833333333,Real,Real
1,9909452.0,1130043387724353536,choose srilanka lankan group chose isi rand easter terrorism lka,0.7,0.79390943,0.31736648,0.35,0.396954715,0.15868324,0.746954715,0.50868324,Real,Real
2,9.576815642840064e+17,1129755645698297857,virulent buddhist nationalism fueled antimuslim attack srilanka recent day month preceding easter terror attack clear present danger writes michaelkugelman opinion lka,0.4888888888888889,0.63447857,0.2788868,0.24444444444444444,0.317239285,0.1394434,0.5616837294444444,0.38388784444444446,Real,Fake
3,1.1002416097219584e+18,1129449756512727040,srilanka people pray friday noon prayer mosque colombo lankas minority muslim attended prayer today heavily armed troop guarded mosque including badly vandalized riot wake easter terror attack afp,0.3555555555555555,0.7201036,0.28742784,0.17777777777777776,0.3600518,0.14371392,0.5378295777777777,0.32149169777777775,Real,Fake
4,4611985095.0,1129435664393691138,opinion srilanka burning lka easter terrorism,0.311111111111111,0.7937012,0.32254046,0.1555555555555555,0.3968506,0.16127023,0.5524061555555555,0.3168257855555555,Real,Fake
5,122884856.0,1129382522335375366,rt vipulananda threat srilanka threat india say envoy fight ideology terror together shoulder shoulder taranjit singh sandhu said assuring indian support lanka lka easter terrorism extremism,0.4888888888888889,0.76830244,0.34072694,0.24444444444444444,0.38415122,0.17036347,0.6285956644444445,0.4148079144444444,Real,Fake
6,40320649.0,1129374574527897601,rt vipulananda threat srilanka threat india say envoy fight ideology terror together shoulder shoulder taranjit singh sandhu said assuring indian support lanka lka easter terrorism extremism,0.6666666666666666,0.76830244,0.34072694,0.3333333333333333,0.38415122,0.17036347,0.7174845533333334,0.5036968033333333,Real,Real
7,301807277.0,1129369858779566081,threat srilanka threat india say envoy fight ideology terror together shoulder shoulder taranjit singh sandhu said assuring indian support lanka lka easter terrorism extremism,0.4555555555555555,0.76254535,0.34072256,0.22777777777777775,0.381272675,0.17036128,0.6090504527777778,0.39813905777777775,Real,Fake
8,114960150.0,1129298331744768000,eastersundayattackslk srilankaattacks srilankan colombo attack sri srilanka lka isi easter news muslim police country sunday government today sinhalanews today,0.9666666666666668,0.98297405,0.3770225,0.4833333333333334,0.491487025,0.18851125,0.9748203583333335,0.6718445833333334,Real,Real
9,,1129290475507191808,srilanka easter easterattacksl srilanka lka unity sri lanka,,0.8319021,0.36059812,,0.41595105,0.18029906,,,Fake,Fake
10,,1128982500901117952,genuine question next zaharan emerge srilanka easter attack srilankaattacks srilankaattack sri lanka,,0.75441253,0.3155324,,0.377206265,0.1577662,,,Fake,Fake
11,,1128966069069258753,eastersundayattackslk srilankaattacks srilankan colombo attack sri srilanka lka india isi easter news muslim police country sunday government today,,0.99999976,0.3731414,,0.49999988,0.1865707,,,Fake,Fake
12,,1128950288507760640,ද ශප ලන ට යන න මහත තය හම බ කරන නන ල ජ ජය න say politics via youtube government today security sunday terrorist eastersundayattackslk country terrorism muslim news easter srilankaattacks face isi lka srilanka sinhala,,0.87210095,0.37317124,,0.436050475,0.18658562,,,Fake,Fake
13,,1128885974929432579,ඉස ල ම ආගම අදහන ව ශ ර ම ක ප ල ස න ළධ ර මහත ක රට ව න ව න via youtube government today security sunday terrorist eastersundayattackslk country terrorism president police muslim easter srilankaattacks lka srilanka sinhala,,0.75037223,0.3550002,,0.375186115,0.1775001,,,Fake,Fake
14,,1128879152457641985,save country politician via youtube government today security sunday terrorist eastersundayattackslk country terrorism president police muslim news easter srilankaattacks face isi lka srilanka sinhala arrest,,0.8890304,0.3649168,,0.4445152,0.1824584,,,Fake,Fake
15,,1128532622915907584,rt chathu photo courtesy reuters eastersundayattackssl easterattacksl easterattacksl easter srilanka srilankaterrorattacks isi eurekagangabada azzamameen rwunp officialunp munza maithripalas,,0.62276393,0.34151945,,0.311381965,0.170759725,,,Fake,Fake
16,,1128314148251738113,people today inspect vandalized shop minuwangoda suburb colombo srilanka mob attack muslim community lankas northwest left person dead amp dozen shop amp mosque destroyed minister said communal violence worsened wake easter attack ap,,0.70805275,0.39357656,,0.354026375,0.19678828,,,Fake,Fake
17,,1128310201520676864,srilanka security personnel stand guard today outside damaged shop mob attack minuwangoda lankan province north colombo indefinite curfew first death antimuslim riot wake easter terror attack police said afp photo lka,,0.7506277,0.3711757,,0.37531385,0.18558785,,,Fake,Fake
18,,1128309202299052032,people gather today outside damaged shop mob attack minuwangoda north srilanka capital colombo province north capital indefinite curfew may first death antimuslim riot wake easter terror attack afp photo,,0.6877097,0.33684576,,0.34385485,0.16842288,,,Fake,Fake
19,,1128308434783408128,men stand today front damaged jumha mosque mob attack minuwangoda north srilanka capital colombo province north capital indefinite curfew may first death antimuslim riot wake easter terror attack afp photo lka,,0.71939677,0.3310786,,0.359698385,0.1655393,,,Fake,Fake
20,,1128306593542676480,men stand today front damaged jumha mosque mob attack minuwangoda north srilanka capital colombo province north colombo indefinite curfew may first death antimuslim riot wake easter terror attack afp photo lka,,0.75187266,0.3325758,,0.37593633,0.1662879,,,Fake,Fake
21,,1128305709140017153,man look outside almasjidul hudha mosque mob attack kottampitiya srilanka today reuters photo lka easter,,0.79106,0.36175418,,0.39553,0.18087709,,,Fake,Fake
22,,1128304644038504449,heavilyarmed srilanka soldier ride motorcycle today near jumha mosque mob attack minuwangoda lanka province north colombo indefinite curfew may first death antimuslim riot wake easter terror attack afp photo lka,,0.7650317,0.35749006,,0.38251585,0.17874503,,,Fake,Fake
23,,1128304011025756160,srilanka soldier patrol road hettipola today top armored vehicle mob attack mosque nearby village kottampitiya lanka reuters photo lka easter,,0.7691935,0.3753835,,0.38459675,0.18769175,,,Fake,Fake
24,,1127963215067996160,srilanka lka eastersundayattackslk easter,,0.7785313,0.31092393,,0.38926565,0.155461965,,,Fake,Fake
25,,1127927186927882240,srilanka loses faith government look cardinal leadership lka easter,,0.7025811,0.32911736,,0.35129055,0.16455868,,,Fake,Fake
26,,1127913299939610624,srilanka police officer stand guard main entrance st theresa church catholic church hold service may easter attack colombo thousand catholic attended mass colombo mid tight security afp photo lka,,0.7425244,0.2941903,,0.3712622,0.14709515,,,Fake,Fake
27,,1127911013418971136,man stand front abbraar masjid mosque mob attack kiniyama srilanka reuters photo lka easter,,0.7344143,0.27703112,,0.36720715,0.13851556,,,Fake,Fake
28,,1127756757659308034,whatsapp viber facebook ත වක ල කව අත හ ට වය socialmedia engagesminsl srilanka easter,,0.65140593,0.25514194,,0.325702965,0.12757097,,,Fake,Fake
29,,1127717563629092864,rt vipulananda srilanka soldier stand guard st lucias cathedral holy mass held bless victim easter sunday attack colombo total people killed nearly wounded least foreigner among dead afp photo,,0.682459,0.28802723,,0.3412295,0.144013615,,,Fake,Fake
30,,1127636449795432448,srilanka soldier stand guard st lucias cathedral holy mass held bless victim easter sunday attack colombo total people killed nearly wounded least foreigner among dead afp photo,,0.6678865,0.2883738,,0.33394325,0.1441869,,,Fake,Fake
31,,1127583366298185729,srilanka army soldier stand guard outside st theresa church catholic church hold service today easter terror attack colombo afp photo,,0.7427156,0.32348236,,0.3713578,0.16174118,,,Fake,Fake
32,,1127405555180560389,easter terror attack bring srilanka tamil leadership together lka,,0.76763725,0.40365195,,0.383818625,0.201825975,,,Fake,Fake
33,,1127101473156763653,rt nadeemnusrat south asia minority alliance foundation participates vigil washington dc victim eastersunday bombing srilanka along member congress diplomat representative various religious organisation,,0.68311465,0.3203917,,0.341557325,0.16019585,,,Fake,Fake
34,,1126566168892981255,rt worldofvikram give shiver even imagine shangrilacolombo fateful easter sunday srilanka colombo galle terror terrorist terroristattack bomb luxury,,0.7478413,0.33376774,,0.37392065,0.16688387,,,Fake,Fake
35,,1126566147011301376,give shiver even imagine shangrilacolombo fateful easter sunday srilanka colombo galle terror terrorist terroristattack bomb luxury,,0.7419504,0.33614904,,0.3709752,0.16807452,,,Fake,Fake
36,,1126189136547864576,srilanka army chief easter terror attack terrorist spent time india lka,,0.8102117,0.374489,,0.40510585,0.1872445,,,Fake,Fake
37,,1126179176573050880,teacher trade unionist politician try get mileage schoolchildrens low participation srilanka school due fear easter attack one parent said today long keep child home attention maithripalas,,0.556267,0.29196393,,0.2781335,0.145981965,,,Fake,Fake
38,,1126036150337069056,dutyfree import security equipment srilanka new move easter terror attack lka,,0.6896922,0.2951988,,0.3448461,0.1475994,,,Fake,Fake
39,,1125899204268830720,extremist linked easter bombing killed arrested say srilanka top cop lanka safe lka travel tourism,,0.73542225,0.32741147,,0.367711125,0.163705735,,,Fake,Fake
40,,1125763027561664512,rt vipulananda addressing parliament today srilanka tamil mp sritharan rap arrest jaffna university student criticizes harrasment civilian north east tough antiterror regulation introduced easter bombing lka,,0.8019009,0.29291904,,0.40095045,0.14645952,,,Fake,Fake
41,,1125690795959431168,rt vipulananda addressing parliament today srilanka tamil mp sritharan rap arrest jaffna university student criticizes harrasment civilian north east tough antiterror regulation introduced easter bombing lka,,0.8019009,0.29291904,,0.40095045,0.14645952,,,Fake,Fake
42,,1125440499207135232,deep sadness remember life lost easter attack two week ago condemn terrorism wish focus message compassion resilience unity amp hope easter remembrance uniteasone lka srilanka unityindiversity,,0.59794176,0.27647918,,0.29897088,0.13823959,,,Fake,Fake
43,,1125386032935890944,rt ahramonline srilanka catholic church appeal calm christianmuslims clash negombo easter,,0.69868463,0.32498294,,0.349342315,0.16249147,,,Fake,Fake
44,,1125103913525444608,arvloshan ordinaryinnocent people srilanka use social medium gain information may suffer due socialmedia blackout amid tough security measure prevent fresh violence easter terror attack lka medium,,0.56846434,0.3303405,,0.28423217,0.16517025,,,Fake,Fake
45,,1124681322943918081,srilanka president maithripala sirisena said security force would eradicate terrorism amp restore stability presidential election due yearend vowing bring heel terrorist linked easter suicide attack election cannot postponed reuters lka,,0.63044214,0.32247698,,0.31522107,0.16123849,,,Fake,Fake
46,,1124524027194658816,rt bbcsinhala ම ක ස න ම යට වඩ බරපතල තත ත වයක easter sunday attack future srilank tourism sector srilanka lk easter,,0.7488087,0.32251626,,0.37440435,0.16125813,,,Fake,Fake
47,,1124336975882801153,rt vipulananda relative mourn beside coffin srilanka terror attack victim burial ceremony cemetery colombo today series bomb attack targeting church luxury hotel easter sunday lanka afp photo lka,,0.7475201,0.31506205,,0.37376005,0.157531025,,,Fake,Fake
48,,1124334293457805312,backstory finding solace amid bloodshed christchurch colombo srilanka lka easter,,0.71237844,0.25503248,,0.35618922,0.12751624,,,Fake,Fake
49,,1124307123972837376,srilanka court today released bail newdelhibased reuters journalist dansiddiqui arrested charge trespassing covering aftermath easter terror attack police arrested photographer following complaint school katana north colombo afp lka,,0.72831386,0.3383792,,0.36415693,0.1691896,,,Fake,Fake
